0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,3,5,1,1,0,1,0,1,0,3,1,1,7,0,0,0,2,1,3,0,6,0,2,1,0,4,2,0,0,0,1,0,5,0,0,P,7,0,1596,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,0,0,3,0,3,0,0,2,130,0,P,1,0,0,2,0,0,0,0,0,8,A,2,4,1,0,0,1,1,0,0,3,Q,0,2,0,3855,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,95,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,266,1,0,0,1,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1,F,1,0,0,5,X,94,1,3,1,0,0,2,A,0,0,7,0,0,0,0,1,0,7,1,5,0,0,0,0,0,0,0,K,1,2,1,0,0,284,2,86,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,0,2,0,A,0,0,0,5,0,0,0,0,0,0,C,0,0,4,N,0,0,0,0,0,2,1,0,0,0,0,2,0,0,1,3,5,0,0,0,0,1397,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,o,3,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,4,0,A,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,346,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,U,0,0,0,0,0,1,0,1,0,3,1,4,2,0,0,0,0,0,3,6,0,1,1,1,1,0,251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,1,2,0,3,0,0,1,0,0,0,6,0,0,0,0,0,4,0,0,4,2,0,3,0,0,0,1,0,1,0,0,8,0,0,2,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1588,2,0,1,0,0,4,3,0,0,1,2,1,0,0,0,0,631,3,1,0,0,0,0,0,0,2,1,0,0,0,1,2,2,0,0,0,0,1,2,0,0,0,0,1,1,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,3,0,0,5,0,0,0,0,0,0,2,1,0,0,0,N,69,1,0,0,4,1,1,3,1,0,5,0,1,D,0,0,0,0,0,7,0,0,9,0,0,0,1747,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,2,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,2,0,0,0,1,0,0,1,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,1,0,4,0,0,B,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,3,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0
2,3,0,0,1,0,0,2,M,159,0,2,0,0,0,1,2,1,1,0,0,0,2,0,2,2,C,0,0,0,0,0,1,0,1,0,N,0,0,1,0,I,2,0,0,0,1,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0
0,2,0,0,0,1,0,0,0,0,2,0,3,0,0,1,0,0,5,0,0,0,1,2,0,3,0,R,0,I,1,E,0,7,4,0,3,0,0,3,0,0,3,J,0,0,2,0,0,0,0,0,0,2199,0,0,0,0,0,0,0,0
0,0,0,1,0,U,0,0,1,0,0,0,0,2,1,1,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,6,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0
0,7,1,0,7,0,6,3,1,0,1,0,4,0,62,2,0,2,B,4,2,A,0,0,1,1,0,0,3,160,0,0,0,4,5,J,0,4,3,5,U,0,1,0,3,K,0,0,0,0,0,0,0,0,0,2583,0,0,0,0,0,0
0,0,0,0,A,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,6,6,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,G,0,1,0,2,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,0,0,0,0,1,0,3,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,3,0,0,0,3,0,0,0,8,0,0,4,4,2,0,0,0,0,0,1,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0
0,1,0,1,62,0,0,2,2,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,7,d,0,2,0,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0
0,0,I,4,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,6,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404
