0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,1,1,0,Y,0,0,4,1,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,I,0,3,715,0,0,0,2,0,0,2,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,E,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,R,0,0,0,0,0,5,0,P,3,0,0,0,0,1,0,0,0,0,0,1,1,9,0,O,1,0,0,2,0,1,0,0,1,1494,0,6,5,0,D,1,4,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,b,0,1,0,1,K,0,5,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,770,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,413,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,1,0,0,0,0,0,4,0,1,9,0,0,0,0,0,2,0,1,0,2,1,0,5,1,0,0,0,2,0,0,0,0,K,3,0,1626,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,2,0,2,0,0,4,z,0,Q,1,0,0,1,0,0,2,0,0,2,B,2,B,0,0,0,0,0,0,0,1,P,0,1,0,3931,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,83,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,2,0,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,3,0,0,3,Y,92,0,1,2,0,0,0,7,0,0,1,0,0,0,0,1,1,4,1,5,0,0,0,0,0,0,0,E,1,1,0,1,0,337,1,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,4,0,0,0,6,0,0,0,0,0,0,C,0,0,7,G,0,1,0,0,0,2,1,0,2,0,1,1,0,0,1,4,0,0,0,0,0,1414,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,y,2,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,7,0,7,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,2,0,0,1,2,0,333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,P,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,3,8,0,1,2,2,0,0,260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,1,0,0,5,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1514,0,0,0,0,0,4,2,0,0,1,1,0,0,0,0,0,564,2,0,0,0,0,0,0,0,3,2,0,0,0,1,2,3,0,0,0,0,1,4,0,0,0,2,1,1,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0
